"tsId","class","lempel_ziv","aproximation_entropy","sample_entropy","permutation_entropy","shannon_entropy_CS","shannon_entropy_SG","spectral_entropy","nforbiden","kurtosis","skewness","x_acf1","x_acf10","diff1_acf1","diff1_acf10","diff2_acf1","diff2_acf10","x_pacf5","diff1x_pacf5","diff2x_pacf5","entropy","nonlinearity","hurst","stability","lumpiness","unitroot_kpss","unitroot_pp","trend","spike","linearity","curvature","e_acf1","e_acf10","max_level_shift","time_level_shift","max_var_shift","time_var_shift","max_kl_shift","time_kl_shift"
"1","1",0.0932091664196277,0.202446616247843,0.384858918944077,0.614278569740261,7.59278452127887,7.59278463385006,2.19552980733498,0.658333333333333,-0.98341323589244,0.453132850290725,0.998111994073631,8.88312227014657,0.918833365044393,4.72475841271658,-0.423890980950576,0.253253773557882,1.9409049624555,1.11188603427697,0.310970969330769,0.46811697951657,0.00388322787438702,0.999913464864144,0.977785450148031,0.00264291053415207,0.267767653430923,-26.7400846020681,0.410400905663046,1.108497318151e-07,-5.55266106273651,-0.109347708322277,0.995230294697807,8.36775107304097,1.42521290594261,328,0.243498264678525,1319,4.85198009782695,341
"2","1",0.0877262742772967,0.205130937405421,0.383279581653039,0.600568546005238,7.59252246868453,7.59252258111643,2.57838356863692,0.690277777777778,-0.904799912112803,0.499743127861998,0.998092068038621,8.85440590937354,0.929590154371355,4.91441891713996,-0.339234187215612,0.186975526886976,1.92975720898996,1.0258746450712,0.193122840060024,0.472611032015042,0.00595333067715025,0.999913464864144,0.978097729811579,0.00242312021631173,0.127103442644528,-26.8738562377625,0.391069024785167,1.23819732385483e-07,-3.21605738408941,1.38111522926199,0.996158066846886,8.38174338802698,1.37263201570079,487,0.24046137863815,479,4.63579937282334,496
"3","2",0.131589411415945,0.249766944649647,0.42230063750828,0.819347454810784,7.59948695015804,7.59948697787285,2.2099664384627,0.580555555555556,-0.684505447177689,-0.44908045774179,0.996370629433913,8.87822472059542,0.516345850615446,1.08052637008775,-0.57518004047021,0.389746255531853,1.29333398555614,0.491516162140428,0.363826595001547,0.486970565218415,0.00609651947642869,0.999913464864144,0.977682868933217,0.00304560744388881,0.403299617403145,-24.983442718731,0.507793957501738,1.12915884923841e-07,-5.15615009570096,-2.56337986209547,0.99300794139835,8.17299875408744,1.10865671253472,1253,0.305978126321407,1251,14.6681553062613,48
"4","2",0.148038087842938,0.33098205387756,0.460588664485716,0.808774661826636,7.59899471618879,7.598994756496,2.93427715242909,0.559722222222222,-0.494522527159234,-0.423302996435815,0.994564313136992,8.16591882658818,0.626805683087098,1.02728885378834,-0.444036086645565,0.310989004000431,1.50883399291977,0.560428821433548,0.236975325551632,0.529576338676602,0.0298220939950901,0.999913464864144,0.950351736751521,0.0178080031604985,0.203982544336322,-40.1054006870932,0.457797147656159,1.48312943324888e-07,-1.93217292032383,-1.69898783039299,0.9898958019694,7.04903627709504,1.90241937610096,55,0.798497341674416,50,10.6034178069263,64
"5","3",0.120623627131283,0.250891158455928,0.408961486211952,0.456207011893098,7.58198693532304,7.58198719465565,2.80846507282397,0.822222222222222,-1.05125092576431,0.337988021817025,0.995894795246211,7.9714735826149,0.96712822573721,3.54451297687819,0.353189287954566,0.834240041890316,1.77916019529362,1.43916642173917,0.395285965720442,0.510577736495054,0.00175039483980575,0.999913464864144,0.95510638290184,0.0113820260311017,0.126802238307037,-47.661225493604,0.368884619699828,1.12265758095569e-07,-2.75605154109982,-2.16517729136953,0.994342159917025,7.23237419863418,1.65707170913435,678,0.726352098637097,1016,10.1527938191116,48
"6","3",0.120623627131283,0.246569621643993,0.4149417435608,0.457000029391289,7.579785089807,7.57978538685495,3.96874874609857,0.820833333333333,-1.09898942673639,0.359031880727473,0.995552976058799,7.73775628744413,0.96765526531435,3.42121695441181,0.444689809669328,1.06505600142315,1.86075665728145,1.51320485960427,0.472418754451274,0.519093137078715,0.00459951066039438,0.999913464864144,0.949901025642772,0.0122386436561069,0.0950892926863597,-53.5972704454062,0.333730876190923,1.16464298192193e-07,0.870257297969162,-2.7528362889397,0.994254844410756,7.03708694765073,1.70136509512753,85,0.83921270615885,717,9.84562312874808,1848
"7","4",0.0877262742772967,0.169831522841832,0.36800257382807,0.507099311831879,7.58612468849892,7.58612491964047,3.0279060725386,0.829166666666667,-0.828590715524222,0.603076984264446,0.997979342577967,9.02666539845414,0.936010935503796,5.41711827464571,-0.416251904933729,0.25059682926688,1.63232016949172,1.19874146434711,0.317582477555295,0.474530789396772,0.0028232406058165,0.999913464864144,0.983666574807656,0.00180457482981453,0.0764335576736312,-21.3214621113422,0.459110901207161,1.03924766825282e-07,0.658704691503288,-2.99027398253627,0.997864092358812,8.7121154797697,1.37807433572194,1641,0.269354509735317,566,22.6201525260373,48
"8","4",0.10417495070429,0.239878961822274,0.401806688230598,0.617582956970671,7.58447482790699,7.58447510108691,3.95974364951625,0.705555555555556,-0.705112933030084,0.613033708399431,0.997322573760606,8.72255222760554,0.887236836396898,2.81176871294152,0.126313173596554,0.308543823149257,1.66647663935637,0.947994776801267,0.184563470511169,0.50693741553978,0.0176260918978151,0.999913464864144,0.972951623515549,0.00421980475383757,0.0959111626640483,-29.0545229846301,0.426597420771413,1.2367149365121e-07,0.759112977418363,-2.46067270617773,0.995946336202105,8.16691652187854,1.41463661916546,1495,0.33654446368395,1292,5.63516130659252,447
"9","5",0.131589411415945,0.299556529457842,0.42092858630968,0.64831278974309,7.58844319583616,7.58844341823307,3.47452943222574,0.663888888888889,-0.941035201187969,0.382882654088833,0.996036767825662,8.07591577425457,0.934657802079491,2.77674942029101,0.114983027126184,0.302176594236042,1.79906133979211,1.10235513662287,0.172030897282382,0.543267067218932,0.00191158733263364,0.999913464864144,0.95603506063336,0.010619612947173,0.537622169748491,-45.0821726132685,0.355006987995342,8.13570643795319e-08,6.29942421169056,0.921763436272099,0.9945396579961,7.3953408224829,1.67115028382591,657,0.607167461825873,663,11.2756673242679,667
"10","5",0.148038087842938,0.320658869319467,0.432701461336908,0.672195797563056,7.58941279390198,7.58941301376092,3.69680302298265,0.608333333333333,-1.11510903008644,0.340420882466212,0.995675844395285,7.99675436917812,0.920572810536828,2.6035029355535,0.0722603407918228,0.211018639801982,1.71055133354756,0.989255357392977,0.110516875144952,0.55401072348303,0.00316176213295231,0.999913464864144,0.952384246612397,0.011090573726829,0.208196026054112,-48.1743464217157,0.346511228106934,8.23133246236089e-08,-0.0812949095051822,1.80964915287192,0.993849888438172,7.23326060959275,1.78900278090765,864,0.531236468480484,1175,11.6252923219762,48
