"tsId","class","lempel_ziv","aproximation_entropy","sample_entropy","permutation_entropy","shannon_entropy_CS","shannon_entropy_SG","spectral_entropy","nforbiden","kurtosis","skewness","x_acf1","x_acf10","diff1_acf1","diff1_acf10","diff2_acf1","diff2_acf10","x_pacf5","diff1x_pacf5","diff2x_pacf5","entropy","nonlinearity","stability","lumpiness","unitroot_kpss","unitroot_pp","trend","spike","linearity","curvature","e_acf1","e_acf10","max_level_shift","max_var_shift","max_kl_shift"
"1","1",0.235438260842239,0.208830622059978,0.433371418353166,0.540660989010195,7.58837602590604,-38.0764474043126,4.60762893068545,0.952777777777778,1.60045495492229,1.15312922341228,0.977450476111959,6.17346347148095,0.854925233738188,1.38055469210884,0.507556389582839,0.596427668611442,1.05651569146868,1.24641300941764,0.584295229214567,0.55275096328355,0.128910539175613,0.903244330167794,0.0309745910626627,0.28509556160813,-5.88876518882446,0.958859201387786,5.31843868984484e-07,-1.86698095870933,2.42925880050526,0.902786374152213,1.46662030865201,1.1168874950702,0.404869530987626,7.08608782741216
"2","1",0.235438260842239,0.205185153330712,0.434248654489458,0.53985309481697,7.34120239115847,-38.0404689856306,4.60795879832252,0.95,1.56402248618161,1.14305330545769,0.977327108537971,6.16473530855472,0.852748873347013,1.34320944295958,0.511389507137234,0.605594778783837,1.05713315328778,1.25856256351544,0.60651202550473,0.55382860872892,0.126456961935681,0.902500563205378,0.0317583410026856,0.285384802268616,-5.94154803572645,0.958041635427253,5.67749591323058e-07,-1.85769280046755,2.4072834530323,0.9013727018659,1.45699934449921,1.12241921905009,0.408493333306391,6.81445915247517
"3","1",0.235438260842239,0.206740466952871,0.435358700758064,0.540219285453514,7.45900526460244,-37.8697353004586,4.60803087679682,0.95,1.54952545650741,1.13617240470316,0.977257947387158,6.15621046738285,0.851558236737676,1.32897083964544,0.5091015340518,0.6021678838829,1.05751847515873,1.25200033427751,0.598819402497401,0.554387243485197,0.125052773983465,0.901925582075542,0.0321490234361503,0.28575216826819,-5.96132679073432,0.957662066274089,5.82942915965294e-07,-1.88646059142963,2.3913796825028,0.90085098718615,1.45346459849078,1.12382202456816,0.409578461903857,6.71170919798295
"4","1",0.235438260842239,0.210710234410099,0.432154230240944,0.54745139588188,7.5445270604671,-38.6135091199234,4.60271036325093,0.951388888888889,1.66809174150532,1.18002959959529,0.978067639693701,6.25214897112254,0.859221011073212,1.47542473610833,0.497882277687278,0.573041473208279,1.05439534614429,1.22789454992882,0.558421060061629,0.548662241292568,0.134381136210243,0.907382322763823,0.0281614802815126,0.282125018691165,-5.64996516901027,0.961645806382277,4.37824926885143e-07,-1.64765369976844,2.42111121711531,0.905492081914419,1.49067361879078,1.12706138267137,0.411855813221736,7.46661611396973
"5","1",0.269072298105416,0.209113003532396,0.432178201731931,0.546239389303255,7.41218993390325,-38.6522904982733,4.60280468293918,0.955555555555556,1.67063232892512,1.18157295828417,0.978096160675923,6.25664718252912,0.8597011378164,1.48512770876624,0.49640297463376,0.569983340086066,1.05407945458163,1.22272937808564,0.550520443432599,0.548379271601918,0.134883641412134,0.907766444808051,0.0279054686729816,0.28236397737358,-5.63785863051372,0.961863996691388,4.3007200613197e-07,-1.64250742842418,2.42843840504469,0.905786806978279,1.49350744784504,1.12761207511126,0.412504970589356,7.53090042736534
"6","1",0.269072298105416,0.204091994314939,0.432459276334173,0.549385569955215,7.41407268294373,-38.7280562304286,4.60175528631383,0.954166666666667,1.68192628369104,1.18749485909624,0.978134583720612,6.26031414544033,0.859724849351605,1.48625215423331,0.498666417458504,0.573900258570416,1.05419454194769,1.23156649882647,0.567695007652382,0.54824145762792,0.134428136624203,0.908191925978597,0.0278494170358808,0.282595188782408,-5.64158814888647,0.961907423921361,4.27249510859044e-07,-1.62455398639066,2.44470562727665,0.905836025968106,1.49402697018689,1.12819133010079,0.413344779729624,7.60312794501211
"7","1",0.134536149052708,0.205862801544774,0.43691324143021,0.535258582638328,7.77699311538056,-36.9730838613793,4.58123892765413,0.954166666666667,1.64782426493682,1.17200142600661,0.977988317332679,6.13447356202486,0.850512812769731,1.29511132462388,0.499184400249614,0.588088887064762,1.07538619462278,1.20608662797405,0.544025380900738,0.557470815920193,0.103855523880151,0.899962826994356,0.0364375799404428,0.28494085690269,-6.07718178254214,0.954605689358024,6.72818746082473e-07,-1.99096262888752,2.31914612807393,0.901722341935389,1.46934757176076,1.12013031405512,0.398327412324704,6.4371194615385
"8","1",0.134536149052708,0.196674989167654,0.436752346994231,0.536029370119601,7.78367688192776,-36.9690696496347,4.58115610600508,0.95,1.64737468068817,1.17021364938819,0.978010290715422,6.13505087945198,0.851116793610753,1.29906677751102,0.500621761878241,0.589543453629482,1.07564132235127,1.21065249349188,0.549855305540054,0.557385903431727,0.103997285129681,0.899897044434112,0.0363425662966612,0.284664850102491,-6.06330596321562,0.954696527384528,6.69455649852559e-07,-1.99321779666664,2.30844414875271,0.901935677980205,1.47103457497669,1.12075149365823,0.398460379541855,6.45931582813916
"9","1",0.134536149052708,0.200990433381431,0.436540763850818,0.535258582638328,7.78068809583336,-36.9828537848483,4.58148181204506,0.954166666666667,1.65402967924136,1.17329532712016,0.977998603508935,6.13783296591802,0.850320457840622,1.29739982075859,0.496764518084792,0.581938941041171,1.07482218006847,1.20357267423142,0.542921235089911,0.557214097566391,0.104629982279756,0.900155673319111,0.0361618650398797,0.284798208328129,-6.06037447668187,0.954817960992937,6.64799209669175e-07,-1.98653442197079,2.31940372099358,0.901795552997154,1.46951745663551,1.11981641243393,0.398135586234836,6.44887638796759
"10","1",0.235438260842239,0.201980241373632,0.433996632100581,0.535258582638328,7.6256635662361,-37.5312463480878,4.5929369025343,0.951388888888889,1.64600313408657,1.16963494337934,0.978004804883357,6.19143829466888,0.855268753338324,1.37266733783927,0.506223486708222,0.593558940711643,1.06456893019505,1.2362606162266,0.573683358410633,0.553291913751849,0.118134814506019,0.903372807772096,0.0320303470382387,0.284480634197977,-5.86009738208104,0.958069770646034,5.48970648089555e-07,-1.86689016581306,2.37966747641163,0.903335026689457,1.47458010320164,1.12005290931155,0.401674338771256,6.35279498557561
