"tsId","class","aproximation_entropy","sample_entropy","permutation_entropy","shannon_entropy_CS","shannon_entropy_SG","spectral_entropy","nforbiden","kurtosis","skewness","x_acf1","x_acf10","diff1_acf1","diff1_acf10","diff2_acf1","diff2_acf10","x_pacf5","diff1x_pacf5","diff2x_pacf5","entropy","nonlinearity","hurst","stability","lumpiness","unitroot_kpss","unitroot_pp","trend","spike","linearity","curvature","e_acf1","e_acf10","max_level_shift","time_level_shift","max_var_shift","time_var_shift"
"1","1",0.26668505973961,0.573954420115331,0.75977233440264,5.7932409044616,-6.98340111724076,2.82432385330704,0.963888888888889,-1.34498043329785,0.383490579540414,0.978000342577127,4.08310788111794,0.905714744628796,2.2935897056372,0.237089646008784,0.198233785593749,1.53642854563373,0.999820755329075,0.107643170643261,0.575619195415379,0.0137420086349623,0.996222395819993,0.874436421009791,0.0545301316710785,0.849535596713648,-4.72141881076179,0.990429506239657,2.63734120357491e-08,-4.86299406504883,-2.8463731006887,0.819018512100672,1.2937783786933,1.51932816639017,37,0.582274355988843,25
"2","1",0.284161779267591,0.567053276416063,0.758960426235298,5.5601790838761,-7.12560321523658,2.85884379915496,0.959722222222222,-1.40119334602533,0.379768973111992,0.977167396670324,4.08352668012607,0.875204474514902,2.20550919429239,0.0119684918323206,0.120639730307028,1.49264524925007,0.84195696508365,0.0197364234071325,0.575165661183691,0.0167521494554665,0.996189520362835,0.876127556474343,0.0628744103984705,0.886703936713627,-4.78644575554111,0.990436593209285,3.0289210978735e-08,-5.01715554793574,-2.58079326135225,0.784408469974866,1.23234044095096,1.66876320860556,37,0.548263683864258,25
"3","1",0.275900552489403,0.570873831800303,0.773934282271276,5.65199156876927,-7.84523142436507,2.87196115569325,0.956944444444444,-1.38709943457607,0.443471335708589,0.975395097871507,3.89548044938584,0.891268397937942,2.29523867570674,0.155045270131746,0.164272400008771,1.47652790750057,0.897267448693965,0.0250601987165588,0.577981116000013,0.0128752942377096,0.996142635991499,0.849751779006112,0.0783757392269312,0.808405952925839,-5.04621862271586,0.990058999483117,3.61653446829675e-08,-4.71502108689236,-2.77789573531021,0.792537392255058,1.2782426316997,1.7641720708803,37,0.597054865592725,43
"4","1",0.275446346116833,0.58216822569397,0.765541366813096,5.41088116344484,-7.61963335094951,2.92704060787337,0.954166666666667,-1.34923648639426,0.411420812401905,0.976418030160609,3.93666390865359,0.867708317975159,2.16302904999268,-0.00827790769728647,0.0999147366475512,1.51367434562835,0.818468140472998,0.0250732547914203,0.578418053097981,0.0110943420564814,0.996116050095792,0.862853283379798,0.0649278247015247,0.839237617012282,-5.06781816091202,0.989651295736845,2.65870888909884e-08,-4.84539734616077,-2.59345853082223,0.772772503938086,1.19295226716929,1.6878265144886,37,0.546889648634836,43
"5","0",0.298644372989544,0.562410006242945,0.749889076516431,5.80896322348336,-7.02176386118555,2.75340258504319,0.9625,-1.41449667063928,0.374366879139473,0.977594371579614,4.19684529376228,0.90491340712504,2.39698060037377,0.244498406621056,0.241166125523363,1.46412259506823,0.949687024619775,0.0754660196461867,0.571210826138082,0.0121285688085401,0.996249425366728,0.879385800974659,0.0643103005865952,0.84176701322359,-4.59944694606142,0.991304083210471,2.00922511497962e-08,-4.85846877296714,-2.33458712020179,0.796256395557098,1.33420416806555,1.7482053487809,37,0.592977222974048,43
"6","1",0.307629729880852,0.586314792738104,0.791049414785976,5.43391890140074,-7.75346602444531,2.98986130565247,0.958333333333333,-1.35528673027803,0.418861533032055,0.975555080401313,3.93455218692711,0.843276787657206,2.0062120467994,-0.0282741527526251,0.160099392155246,1.47269463303231,0.803942211762486,0.0259837829882215,0.580022610560332,0.0173937669154116,0.996064148614966,0.848343843948808,0.06994001851503,0.828243676746902,-5.18423916507732,0.988740357501749,3.7783874841964e-08,-4.78537981785267,-2.4580318398361,0.74191122345769,1.05991588207568,1.68149712643335,37,0.582998839704111,25
"7","0",0.285677216448688,0.557902447613844,0.767836314812063,5.5862196180327,-7.38926985570469,2.70423975034598,0.955555555555556,-1.40702405706245,0.417860352334477,0.976871860905471,4.12745376432215,0.887442589167118,2.37250578308732,0.0443137166267651,0.229816512006894,1.46129598458385,1.02458204693054,0.140989877431856,0.573386883405548,0.0291150465153282,0.99626403020234,0.899007254817338,0.0608841565229822,0.930140775824359,-4.33408998358881,0.991646134126612,2.33624375069073e-08,-5.21019454136543,-2.80554053433479,0.805957756829655,1.50946883869833,1.63546084908405,36,0.549120492205758,43
"8","1",0.278096645698251,0.598378134819523,0.73243276054819,5.66980027844512,-7.61790266919097,3.02009767097261,0.956944444444444,-1.3454204492507,0.405518152501082,0.973763574326951,3.79996153860708,0.862799782466865,2.05550212484091,0.0194428999998594,0.0778364254078596,1.45323373058509,0.81834954450954,0.0116963123590386,0.583633118943058,0.0117741640258383,0.996016115413377,0.836250169793901,0.0736895887680293,0.818977791757224,-5.47897624614562,0.988189837188096,3.96532308528359e-08,-4.73504116477273,-2.65797554335081,0.78061083197028,1.226764155201,1.61275493091916,37,0.591829456271759,25
"9","1",0.253728152478054,0.609336957455035,0.786775670611929,5.44752708444317,-7.8317883180773,3.09460424360814,0.955555555555556,-1.33390680419338,0.405546988889153,0.97219817905121,3.62559391510454,0.817324800486477,1.79827123028804,-0.0838740051916963,0.082998965841129,1.45551946706566,0.722136485299115,0.0175901205285332,0.590450989707845,0.0151652480066902,0.995864571556441,0.835052108680057,0.0735704869958549,0.775389969129681,-5.85237401981605,0.985988247836555,5.8708401523694e-08,-4.6036928842208,-2.45473196114631,0.731233223426811,0.965581058970474,1.71611622650957,37,0.622206591552898,26
"10","0",0.337559331998649,0.593588555605321,0.78989777858345,5.61335779870634,-7.58950414330826,2.94666478565075,0.956944444444444,-1.37488123047213,0.42225409068049,0.974000504903942,3.81106665675518,0.852991035757195,2.07610246276374,0.000683863040579041,0.0523946395163209,1.45188330300991,0.769634508769489,0.0038021503865402,0.580682238948057,0.00814971103558209,0.996065781567362,0.865474285072517,0.0744522252655366,0.834365547849133,-5.26167705871119,0.989051748815255,4.58275705096128e-08,-4.85111839702568,-2.59487348670364,0.756814628685494,1.02094535708794,1.6693734730305,36,0.604796264073993,43
