"tsId","class","lempel_ziv","aproximation_entropy","sample_entropy","permutation_entropy","shannon_entropy_CS","shannon_entropy_SG","spectral_entropy","nforbiden","kurtosis","skewness","x_acf1","x_acf10","diff1_acf1","diff1_acf10","diff2_acf1","diff2_acf10","x_pacf5","diff1x_pacf5","diff2x_pacf5","entropy","nonlinearity","hurst","stability","lumpiness","unitroot_kpss","unitroot_pp","trend","spike","linearity","curvature","e_acf1","e_acf10","max_level_shift","time_level_shift","max_var_shift","time_var_shift"
"1","2",0.474144607116552,0.37114143286083,0.620140433793343,0.848345663440347,6.05283227103088,-3.5512387437959,3.15574992297102,0.944444444444444,-1.27919636920978,-0.0198774273537924,0.967640244856254,3.55137945000226,0.730562314081321,1.08475786549599,-0.0611344533626709,0.122591207899315,1.39241569999342,0.594745858203658,0.0229132948726786,0.605538000667883,0.0225501518424826,0.995592698044839,0.843292454229375,0.0464117496356716,0.86699877799231,-6.24029115375718,0.976613571775255,1.90859289341281e-07,-4.91004462008287,-2.94178311956832,0.701657296090327,1.10487928715306,1.56764425830129,38,0.471944490145964,2
"2","2",0.553168708302644,0.464513954928308,0.611851356888232,0.76504617641911,6.26273590308534,-4.4688345949166,3.21228758535289,0.947222222222222,-1.2183369758366,0.132308171016667,0.9652798580721,3.29784477946335,0.694387369720093,1.14939777917183,-0.150511743376208,0.0912539072394103,1.37242703121345,0.487111278108933,0.0655856514467906,0.607881505272844,0.0081445564005918,0.995499930883083,0.807135422180715,0.0415742989330656,0.73276887142012,-6.65760689171566,0.976950700131334,1.23779807820799e-07,-4.43553762024024,-2.75170863309884,0.633999358326506,0.702396314093457,1.52422431694507,9,0.576296506386525,25
"3","2",0.553168708302644,0.413328906612735,0.620410039795317,0.741496161058251,6.00059118272194,-6.69515726466505,3.12186516244278,0.958333333333333,-1.2347934277016,0.281384396128795,0.968500904392661,3.26439760267498,0.802902407873281,1.5960706226683,-0.040564243568501,0.0858739882868177,1.50565544055839,0.706074467774126,0.00386656537815057,0.60476070323146,0.00772251800551886,0.995674779249452,0.810642684628478,0.0755775416266228,0.630731463677595,-6.6178447181008,0.980471050426683,1.09892323469519e-07,-3.94356648236303,-3.13149246579239,0.758757017827003,1.16911923160282,1.71889455696093,37,0.570246249577555,25
"4","2",0.632192809488736,0.355528363860096,0.611250824105672,0.753667064347023,6.40915383800118,-4.42286844821023,3.31878897839491,0.954166666666667,-1.25802050523326,0.0672491084794502,0.959690524678535,3.08286312253147,0.655122475586767,1.08829263432526,-0.321789814358802,0.188107662527987,1.31994733390046,0.524044934013737,0.10799049529127,0.620935334071968,0.033527402988422,0.995219438709726,0.768710066572416,0.0599572292675201,0.674265383877606,-7.7050258694001,0.972122820008357,3.1401566226363e-07,-4.09226490933532,-2.78886853505495,0.658887759404142,1.12630741152742,1.60012253308219,23,0.72169801112915,25
"5","2",0.553168708302644,0.336262280912326,0.612430647669802,0.74035779507019,5.87610664701754,-4.96782089383527,3.3058782755277,0.95,-1.23704267486045,0.11049555137499,0.961546706992764,3.17917549379236,0.666344898401324,0.989501170766458,-0.199463011228465,0.129013816485334,1.32462986700278,0.466975605232111,0.0536540363985398,0.618241687571733,0.0136552951384232,0.995303484393141,0.776014618143937,0.0553164698893736,0.723762312126871,-7.21324653497374,0.971816108283295,2.51962158712579e-07,-4.31231563573921,-2.96065251512512,0.654984094825955,0.876122093298022,1.55664095918855,38,0.49644163705011,25
"6","3",0.553168708302644,0.435467042361627,0.615656694690483,0.741496161058251,6.04806561065794,-5.92730009117411,3.37714275368456,0.956944444444444,-1.22181035447418,0.184482401272877,0.958812449791988,3.02806989126468,0.673586084270924,0.98473669365236,-0.19685373555699,0.107288309985221,1.32120623657725,0.504001132908526,0.0517211081598343,0.628195028802947,0.0217747619294775,0.9951414701187,0.769189578816812,0.0881971033365428,0.66197585563876,-7.83205966641669,0.967619012519078,4.24147010328667e-07,-4.07997312001991,-2.75997330703509,0.677747387629373,1.14373501526586,1.70582418553669,23,0.655294123793712,26
"7","3",0.474144607116552,0.376591258971082,0.612172277809945,0.797818058049259,5.76659530531228,-4.8720895629058,3.12256829576442,0.954166666666667,-1.33386302187514,0.112443333185787,0.969978843013233,3.71402066633539,0.751055252556302,1.27681551333674,-0.12954510795822,0.153616451929537,1.40562399079652,0.637673875352293,0.0349761351627347,0.597118990749948,0.0144418002279319,0.995759450401653,0.828213799585614,0.0546253892514484,0.863025167215505,-5.86537336256409,0.980674941907076,1.39079193578291e-07,-4.86384417632461,-3.02772776336116,0.711051567340869,1.34653357307295,1.52801814159647,23,0.519091948177718,25
"8","3",0.553168708302644,0.337325834945672,0.615960223364833,0.762887139777756,5.96053700895036,-5.51782618810012,3.30122673623574,0.956944444444444,-1.31059807904854,0.137178763211926,0.961388991904569,3.06595325994207,0.740627474806683,1.20684839714528,-0.121801243715871,0.102125332331894,1.37583759221238,0.610736622453102,0.0210813112158855,0.619505682521536,0.0405715672890523,0.995307904483887,0.76734269070875,0.0788819733235132,0.676226563920132,-7.67256333496064,0.972608215384516,3.0157755074887e-07,-4.11532304534882,-2.80393220012749,0.716669535543499,1.18769427506359,1.63800390887798,24,0.620611199369465,25
"9","3",0.474144607116552,0.470337041902003,0.625940447103497,0.762748493223877,5.65036560632008,-6.58888417791702,3.28644607561305,0.954166666666667,-1.35622751757174,0.287697601203223,0.962134427848558,3.19634782687114,0.681802654364137,0.991741861307068,-0.173461660746197,0.11506471773555,1.33057147355232,0.480517642049614,0.0481934037479222,0.614893007118664,0.0526167049010146,0.995402740784991,0.784878601435558,0.0915750029772888,0.667567870575356,-7.10798946894416,0.974224104809923,2.83852057347094e-07,-4.09008550698083,-2.84545288189846,0.635652264191284,0.789649701833611,1.67432563215717,23,0.713953658736146,25
"10","3",0.553168708302644,0.357496657292285,0.611436565547059,0.777719572698273,5.58351471143218,-6.02924818153696,3.3380348099489,0.958333333333333,-1.22240926024566,0.188011112090404,0.959033637431703,3.0501791146652,0.703380847304405,1.09327689651902,-0.213695901405706,0.132342754336317,1.31255279418344,0.567646568174267,0.0660478576578403,0.621355677875555,0.0511381035243042,0.995276427629605,0.767714285216306,0.0669407855776561,0.682211862258799,-7.78354843282951,0.972427464558267,3.53585910992993e-07,-4.15368528940158,-2.85035329378776,0.693357077165691,1.0968411623899,1.70412449140805,24,0.780185740599787,27
