"tsId","class","aproximation_entropy","sample_entropy","permutation_entropy","shannon_entropy_CS","shannon_entropy_SG","spectral_entropy","nforbiden","kurtosis","skewness","x_acf1","x_acf10","diff1_acf1","diff1_acf10","diff2_acf1","diff2_acf10","x_pacf5","diff1x_pacf5","diff2x_pacf5","entropy","nonlinearity","hurst","stability","lumpiness","unitroot_kpss","unitroot_pp","trend","spike","linearity","curvature","e_acf1","e_acf10","max_level_shift","time_level_shift","max_var_shift","time_var_shift"
"1","2",0.26668505973961,0.573954420115331,0.75977233440264,5.7932409044616,-6.98340111724076,2.82432385330704,0.963888888888889,-1.34498043329785,0.383490579540414,0.978000342577127,4.08310788111794,0.905714744628796,2.2935897056372,0.237089646008784,0.198233785593749,1.53642854563373,0.999820755329075,0.107643170643261,0.575619195415379,0.0137420086349623,0.996222395819993,0.874436421009791,0.0545301316710785,0.849535596713648,-4.72141881076179,0.990429506239657,2.63734120357491e-08,-4.86299406504883,-2.8463731006887,0.819018512100672,1.2937783786933,1.51932816639017,37,0.582274355988843,25
"2","2",0.284161779267591,0.567053276416063,0.758960426235298,5.5601790838761,-7.12560321523658,2.85884379915496,0.959722222222222,-1.40119334602533,0.379768973111992,0.977167396670324,4.08352668012607,0.875204474514902,2.20550919429239,0.0119684918323206,0.120639730307028,1.49264524925007,0.84195696508365,0.0197364234071325,0.575165661183691,0.0167521494554665,0.996189520362835,0.876127556474343,0.0628744103984705,0.886703936713627,-4.78644575554111,0.990436593209285,3.0289210978735e-08,-5.01715554793574,-2.58079326135225,0.784408469974866,1.23234044095096,1.66876320860556,37,0.548263683864258,25
"3","2",0.275900552489403,0.570873831800303,0.773934282271276,5.65199156876927,-7.84523142436507,2.87196115569325,0.956944444444444,-1.38709943457607,0.443471335708589,0.975395097871507,3.89548044938584,0.891268397937942,2.29523867570674,0.155045270131746,0.164272400008771,1.47652790750057,0.897267448693965,0.0250601987165588,0.577981116000013,0.0128752942377096,0.996142635991499,0.849751779006112,0.0783757392269312,0.808405952925839,-5.04621862271586,0.990058999483117,3.61653446829675e-08,-4.71502108689236,-2.77789573531021,0.792537392255058,1.2782426316997,1.7641720708803,37,0.597054865592725,43
"4","2",0.275446346116833,0.58216822569397,0.765541366813096,5.41088116344484,-7.61963335094951,2.92704060787337,0.954166666666667,-1.34923648639426,0.411420812401905,0.976418030160609,3.93666390865359,0.867708317975159,2.16302904999268,-0.00827790769728647,0.0999147366475512,1.51367434562835,0.818468140472998,0.0250732547914203,0.578418053097981,0.0110943420564814,0.996116050095792,0.862853283379798,0.0649278247015247,0.839237617012282,-5.06781816091202,0.989651295736845,2.65870888909884e-08,-4.84539734616077,-2.59345853082223,0.772772503938086,1.19295226716929,1.6878265144886,37,0.546889648634836,43
"5","2",0.307629729880852,0.586314792738104,0.791049414785976,5.43391890140074,-7.75346602444531,2.98986130565247,0.958333333333333,-1.35528673027803,0.418861533032055,0.975555080401313,3.93455218692711,0.843276787657206,2.0062120467994,-0.0282741527526251,0.160099392155246,1.47269463303231,0.803942211762486,0.0259837829882215,0.580022610560332,0.0173937669154116,0.996064148614966,0.848343843948808,0.06994001851503,0.828243676746902,-5.18423916507732,0.988740357501749,3.7783874841964e-08,-4.78537981785267,-2.4580318398361,0.74191122345769,1.05991588207568,1.68149712643335,37,0.582998839704111,25
"6","2",0.278096645698251,0.598378134819523,0.73243276054819,5.66980027844512,-7.61790266919097,3.02009767097261,0.956944444444444,-1.3454204492507,0.405518152501082,0.973763574326951,3.79996153860708,0.862799782466865,2.05550212484091,0.0194428999998594,0.0778364254078596,1.45323373058509,0.81834954450954,0.0116963123590386,0.583633118943058,0.0117741640258383,0.996016115413377,0.836250169793901,0.0736895887680293,0.818977791757224,-5.47897624614562,0.988189837188096,3.96532308528359e-08,-4.73504116477273,-2.65797554335081,0.78061083197028,1.226764155201,1.61275493091916,37,0.591829456271759,25
"7","2",0.253728152478054,0.609336957455035,0.786775670611929,5.44752708444317,-7.8317883180773,3.09460424360814,0.955555555555556,-1.33390680419338,0.405546988889153,0.97219817905121,3.62559391510454,0.817324800486477,1.79827123028804,-0.0838740051916963,0.082998965841129,1.45551946706566,0.722136485299115,0.0175901205285332,0.590450989707845,0.0151652480066902,0.995864571556441,0.835052108680057,0.0735704869958549,0.775389969129681,-5.85237401981605,0.985988247836555,5.8708401523694e-08,-4.6036928842208,-2.45473196114631,0.731233223426811,0.965581058970474,1.71611622650957,37,0.622206591552898,26
"8","3",0.256259097326386,0.58547118888969,0.804833068929732,5.24199653688914,-7.77990648178743,2.91454758037429,0.956944444444444,-1.35584438269793,0.392205957477543,0.97246138034828,3.69763000421805,0.880113849454775,2.10764016132293,0.227724794075096,0.189356043567858,1.43127188463089,0.882954700018729,0.0579015413509408,0.585089981437209,0.0144401056835817,0.995975403017439,0.845769297768,0.0753610179481352,0.7570648982914,-5.63480583002217,0.987349039934347,3.58866065570542e-08,-4.56437086916683,-2.18109211811159,0.772426666501033,1.08954949836152,1.78327630953854,37,0.637708800184603,43
"9","3",0.291249480114585,0.589997221581405,0.715555231398137,5.25551298027791,-8.16684199479344,2.92540919536424,0.966666666666667,-1.31051083329195,0.44615395015269,0.974669614046991,3.79325308654781,0.87517313775993,2.23707882155995,0.049428604961507,0.127901524878652,1.48765408707276,0.87715503118546,0.0247455155868172,0.581580757694682,0.0130420020190112,0.996085775030752,0.849290648637421,0.0708528317875654,0.809416839857943,-5.23440210368068,0.989482838976498,3.2851373574221e-08,-4.74353314979943,-2.74258113466623,0.797666127204936,1.35709095610544,1.62889842178488,36,0.546251033098755,25
"10","3",0.276064618181787,0.61551849893748,0.777719572698273,5.47872873004056,-8.25223380260688,3.01119253029579,0.959722222222222,-1.3069224110634,0.459490154920978,0.973406414251319,3.66183435681159,0.850597690774712,2.08524110551118,-0.0790675930316224,0.0965248523370111,1.4926427664056,0.807626961290854,0.0273077511797092,0.585974904120882,0.00884734929530495,0.995975403017439,0.823012292737222,0.0804364909266359,0.760420934637812,-5.67492412252792,0.987926452301364,4.32759193867456e-08,-4.56930352611528,-2.51857246427593,0.765760890736082,1.13831667964629,1.71515561881938,23,0.591518448426309,26
