"tsId","class","lempel_ziv","aproximation_entropy","sample_entropy","permutation_entropy","shannon_entropy_CS","shannon_entropy_SG","spectral_entropy","nforbiden","kurtosis","skewness","x_acf1","x_acf10","diff1_acf1","diff1_acf10","diff2_acf1","diff2_acf10","x_pacf5","diff1x_pacf5","diff2x_pacf5","entropy","nonlinearity","hurst","stability","lumpiness","unitroot_kpss","unitroot_pp","trend","spike","linearity","curvature","e_acf1","e_acf10","max_level_shift","time_level_shift","max_var_shift","time_var_shift","max_kl_shift","time_kl_shift"
"1","1",0.190324668934799,0.137771016388566,0.422129567671788,0.659663358508169,5.06683272812203,4.40006992299181,3.38462903920513,0.936111111111111,6.96986102373559,2.63201562047956,0.988756731129672,5.68435231050006,0.958025222780007,2.57371028695732,0.829102958627389,1.44639190296252,1.71179785740004,1.77676450469282,0.966857055489599,0.563875371334966,0.102039111923861,0.998789021085057,0.925966458769744,0.103863822668037,0.954115106415921,-8.17059091455534,0.947048827397944,1.23006860751285e-06,6.03180451292043,-1.12085937858449,0.951115623910763,2.59851052695026,1.011560249675,170,0.252043640464222,168,0.591896663448989,110
"2","2",0.190324668934799,0.164999322879145,0.4396638300634,0.687456116403073,5.14447350358288,4.81229405133775,3.49221231860406,0.922222222222222,6.57287111979481,2.47468211957603,0.985456191172164,5.55609042274501,0.929835937698788,1.85303368642906,0.762078131072162,1.27535384509,1.53743472973879,1.70233950855549,0.949894692183092,0.574000121376304,0.15008719685971,0.998719752833897,0.965699604657576,0.0281003434952233,1.32104179161355,-8.70832471536171,0.93554149404061,1.79373152895929e-06,7.44270865908601,0.21811999657736,0.924567552468125,2.25248207248385,1.22104659052907,183,0.400709047292588,178,2.01868181510996,110
"3","3",0.190324668934799,0.151808685390126,0.445738041160685,0.670009032250993,5.10258213251231,4.78099909707503,3.50686187152167,0.918055555555556,5.01216707718795,2.24466252797984,0.98324593106509,4.77832964548964,0.942261881150989,2.19163526023666,0.817816628636691,1.49210162924721,1.65608397006334,1.78184784054329,1.06044017764339,0.563198538085996,0.13568463563708,0.998605363537545,0.937094709239194,0.0661327300538536,0.915747787764706,-11.0898300159815,0.914005984448464,3.15144017960111e-06,6.00503738334751,-0.706892149523897,0.913442218438597,2.41783760353997,1.39292518464694,181,0.484297693037201,182,3.04802996482211,113
"4","4",0.152259735147839,0.0931177611910967,0.331907798429238,0.712046390381923,4.74052899122616,3.98688938660989,3.77338700546889,0.9125,12.666511914249,3.43668666812576,0.97761192131345,3.99092003846593,0.915232636789041,2.10699942381073,0.806352994142227,1.65875105378664,1.97942085811538,1.75108288769998,1.32652504974906,0.629810155394318,0.204049169220896,0.99836542054477,0.726610664089662,1.48288100465024,0.382627163673772,-15.5755679422434,0.845173720834939,1.199928208672e-05,0.422212915395663,-6.202445602537,0.923805250749701,2.79979161516009,0.800746687841929,105,0.157237112544201,107,148.397626111416,118
"5","5",0.152259735147839,0.0605140540099218,0.329614688217339,0.731992841549803,4.73813788983339,3.9383178909547,3.72050956806483,0.918055555555556,12.3404435526276,3.43651705604708,0.979699561412504,4.32923290973903,0.9203752181188,2.33693974123356,0.830569505885699,2.10723688855176,2.02563589936475,1.80656172489752,1.24772981481838,0.61530016543469,0.189364759409499,0.998646632998793,0.923643425395353,0.266601547636801,0.369072086815024,-14.2998069309444,0.856244371096596,9.91937489979676e-06,-0.241439401631108,-5.94913486188423,0.923243437388878,3.16471061109811,0.964516000180897,97,0.262805026099085,98,157.147004746089,110
"6","6",0.152259735147839,0.0764369683663837,0.364724385268025,0.687299460457054,4.80873046328754,4.33000904765697,3.63859799909736,0.933333333333333,10.99232053958,3.29695769376852,0.983274522380689,4.67878883602434,0.935325920969613,2.31930373471966,0.832401747896511,1.84897612914286,1.86622008182953,1.7828919024241,1.09909017119924,0.593583430470747,0.130231202842563,0.998606408301337,0.889829830079202,0.27126316104707,0.380230898335028,-12.1675647927319,0.890373539161024,5.18341312862213e-06,-0.474040595233236,-6.2775514666146,0.935606788088874,2.98082591933965,0.858233200157055,106,0.191876896674735,98,64.2373797703202,114
"7","7",0.152259735147839,0.117354446217287,0.394511261827244,0.669095228781572,4.93641382608301,4.33713986882119,3.54746186502207,0.925,11.0728024902962,3.24007215169307,0.984590503731014,5.10359395480287,0.936875126438184,2.53974977927377,0.858472891223064,2.38235250045454,1.84183020559611,1.8837161866773,1.43295915511577,0.599925324950006,0.179966977429659,0.999406879355179,0.948493963166734,0.103680907520909,0.478428085450517,-10.9248290985887,0.897202779676285,4.52269694445929e-06,-1.20879078406793,-6.77074660664853,0.935074829779933,3.31998919684975,0.889897577895395,114,0.229936291425932,119,24.8332426033007,102
"8","8",0.228389602721759,0.0987255911787064,0.377426807447037,0.6759223350986,4.87610012043428,4.25556517167831,3.62899037161054,0.919444444444444,10.734172266327,3.22883436209272,0.983022297487654,4.76236636229915,0.931136594678644,2.15120587728352,0.851416269132487,2.08684867831335,1.87788995127225,1.95267421002011,1.49347239277866,0.618148068825958,0.17120112445551,0.99854532157507,0.753986737657675,1.07139173289481,0.328947626282165,-12.0646052064288,0.890390403312938,5.82524270058001e-06,0.193635421114854,-5.73014006938948,0.929334598165448,2.89759833708658,0.909660650872936,118,0.224752319972058,111,48.4473916280473,124
"9","9",0.152259735147839,0.0828943904852448,0.39340343650561,0.714644466650756,4.98331877098358,4.33713024982755,3.58592922158138,0.918055555555556,8.70761496615045,2.94888945520344,0.98562412262571,5.20490857059717,0.936002498542249,2.11225563566367,0.833915566412689,1.71595485790265,1.81175998227796,1.8636770940322,1.37927900275461,0.583022471492657,0.12723073597427,0.998648607798198,0.815701706196505,0.814997234058034,0.424334053351229,-10.2729082923592,0.912621906562908,3.38470011862e-06,-0.646855834201573,-6.70857976840662,0.935051180050525,2.7320373464314,0.796307794826805,110,0.192961077234628,102,37.2248936644624,118
"10","10",0.152259735147839,0.0601312915602099,0.367935120546431,0.701480902585702,4.97862788823102,4.31444131672166,3.55311423932027,0.918055555555556,4.78044258130772,2.29013244944411,0.987811656954525,6.05869144607566,0.926113469434426,2.00090524217538,0.82298097425206,2.06661141008871,1.79170709638779,1.8158709862054,1.30993141511801,0.586432360089721,0.166247695635954,0.999592718831625,0.99390277765943,0.025775029758912,0.627063450651161,-8.15934991761566,0.926338957935469,2.61692926021489e-06,-2.55128520396729,-6.60793517837772,0.924296595116039,2.78536826406697,1.11633932061818,94,0.2964262919455,87,74.3460439367534,102
