"tsId","class","lempel_ziv","aproximation_entropy","sample_entropy","permutation_entropy","shannon_entropy_CS","shannon_entropy_SG","spectral_entropy","nforbiden","kurtosis","skewness","x_acf1","x_acf10","diff1_acf1","diff1_acf10","diff2_acf1","diff2_acf10","x_pacf5","diff1x_pacf5","diff2x_pacf5","entropy","nonlinearity","hurst","stability","lumpiness","unitroot_kpss","unitroot_pp","trend","spike","linearity","curvature","e_acf1","e_acf10","max_level_shift","time_level_shift","max_var_shift","time_var_shift","max_kl_shift"
"1","7",0.114749914253912,0.0948488670606613,0.332874978206838,0.372920045333512,9.14946876540981,-22.7377126097613,2.76343542471698,0.947222222222222,-1.20477557218536,0.161166945729139,0.99123935852938,8.83740316602104,0.9755094098666,7.16085690238273,0.125933002522688,0.0236685615914443,0.990822843106011,0.974194731539366,0.0187140909465935,0.415878999159908,0.00190142472458948,0.999674143732518,0.99280885452115,2.70816111867788e-05,0.496237753381174,-1.3827014664638,0.994551996229812,3.89320540238411e-10,-0.12691932245997,7.02512878124923,0.983952748939108,4.71481754338408,0.430555891030422,256,0.0166986051562462,300,7.51417438089772
"2","4",0.133874899962898,0.0960291406628837,0.335723662963519,0.398699121963623,9.11485603242126,-25.7261538347793,2.92934244150987,0.952777777777778,-1.21604540643146,0.216987652109003,0.991083495197776,8.81498911909375,0.96569515815831,6.55096592318809,0.0494067673714008,0.02196882881238,0.992033175314165,0.939637958293494,0.00871909601126494,0.414725958732706,0.00306582419459986,0.999691656236595,0.993184733154584,3.43269120256501e-05,0.544815681449871,-1.41541749873415,0.9940245518487,4.52094128854037e-10,-1.77871923028726,7.12053455958215,0.980366127549221,4.29269018151066,0.472277144038607,266,0.0193867515507218,319,6.37974285016685
"3","6",0.114749914253912,0.0958637037647767,0.334638331185593,0.387650953647301,9.14654853604787,-20.7204725933258,2.90846648425633,0.952777777777778,-1.20873230902676,0.183170126364435,0.990762181711131,8.77322749552841,0.973194787247092,7.13420070945373,0.0416568770876594,0.0456315092423335,0.990894904105364,0.973527959306206,0.028913683695551,0.421291580590981,0.00198373272826895,0.999689980566766,0.991682447651134,2.63941663338684e-05,0.503974226175025,-1.48169881901868,0.993535957506771,6.57000949913746e-10,-0.746037758070898,7.27547252653129,0.985973359948625,4.98275533522272,0.433758556830378,174,0.01473623749485,193,7.57179061699763
"4","4",0.0956249285449269,0.0943244359827613,0.332688110477863,0.440321849729808,9.34109999091518,-15.866078363588,2.88270845740691,0.919444444444444,-1.23698067527251,0.0936428327289596,0.991834948668086,8.89241151996439,0.957702867565201,6.82485999624881,0.0108966723922562,0.0337648547947648,0.993895229856409,0.942947336329621,0.0297266249035267,0.416958690168104,0.00290807846811031,0.999674143732518,0.995391140338162,2.38421325598587e-05,0.523803653426817,-1.36005130203055,0.994880100399648,4.72758848181303e-10,-1.39459162780103,6.60521802614034,0.978875223761856,4.65530546928302,0.424632601096368,285,0.0192806915683785,326,6.13661820878175
"5","7",0.114749914253912,0.0949736238002781,0.335087672762227,0.386250017725498,9.12980245066096,-22.2399243090397,2.83080504078613,0.95,-1.19134101973763,0.171921174569086,0.990926095483398,8.80097304580214,0.976572142932362,7.04154789347097,0.195831203939446,0.0608766341387772,0.990537130157932,1.0127217704284,0.058618703696493,0.418595961375839,0.00168412807065594,0.999692889938828,0.992015248203169,2.64132190372611e-05,0.499131261913591,-1.42509839849737,0.994107506274246,4.90937184140466e-10,-0.243628861453799,7.25250683826075,0.984593622271738,4.73792956089901,0.437836854546985,184,0.0157055473138564,195,7.81024912218589
"6","2",0.133874899962898,0.0895163185254013,0.327671649078536,0.40710014101167,9.28911679936684,-23.0258367573316,2.59371950489972,0.941666666666667,-1.24094390290361,0.134636559889622,0.992890128235449,9.03473951808827,0.973617806496467,7.59509639054277,0.144528133063663,0.10298651892897,0.994259199495095,0.998962323071768,0.0830139750435963,0.408605078498148,0.00209980995361818,0.999683875252747,0.99920277446574,1.98136742923161e-05,0.495200414414165,-1.2222335029195,0.997102908828903,1.39194422289711e-10,0.678459682337845,5.94369493640787,0.979429790603782,4.85736726947665,0.390140573211995,189,0.0128645641085716,87,7.19353920030921
"7","2",0.0956249285449269,0.0965135093422544,0.337398009209428,0.46106260683674,9.26022728133225,-24.5926122284309,2.99269233149828,0.916666666666667,-1.2548063446854,0.18598763550698,0.992233658331303,8.92501682012231,0.94097298428636,6.40318230800358,0.0208578990066491,0.088358079807932,0.996475415098682,0.956510140842094,0.0804813578131083,0.414572128845194,0.00281473864424005,0.999674143732518,0.996146474823295,2.63233211577853e-05,0.558743326500173,-1.32914521728693,0.995252797753298,2.97044963495832e-10,1.25318555406464,6.58666199568812,0.97532651157024,4.35783199861915,0.431639372466171,212,0.0168875874155349,87,6.76899385236984
"8","4",0.0956249285449269,0.0922278325627546,0.336859797106689,0.427536640171882,9.09404992533159,-19.0678015263399,2.79388797365305,0.927777777777778,-1.2945034280923,0.159886122938352,0.991283596203121,8.83452815451341,0.972158464794638,7.13222148321958,-0.0563398966296681,0.0412474637179561,0.992252999809555,0.9661703567396,0.0212848797274214,0.417067042161121,0.00276440672192144,0.999674143732518,0.992910095475078,3.74945027494337e-05,0.49244938622043,-1.38321096598771,0.994803799626998,4.72790124867057e-10,-0.202821452503917,6.75566369040653,0.983126936465942,4.74547172826708,0.491440143382305,268,0.0233265545707552,260,7.15062782818112
"9","7",0.0956249285449269,0.101710397006869,0.335579866826116,0.387035208066933,8.98523948755414,-24.2604771737982,2.91014929992912,0.951388888888889,-1.11333045029985,0.188483592171241,0.99083534478917,8.75504101651223,0.975787062596214,6.93935482990414,0.196141092756353,0.0464535302229077,0.992199181249527,0.997045005549504,0.0464139543690317,0.424754255301816,0.00146476357726762,0.999685558797726,0.990882271600487,2.99913804257391e-05,0.496726955682207,-1.54915545621941,0.992125838898625,8.93902800915345e-10,0.416530359968509,7.35473745298295,0.985248440391585,4.96156807449818,0.490982327964712,316,0.0206769066821023,309,8.25165983254619
"10","4",0.114749914253912,0.0952314945893988,0.3381995854719,0.385847812069173,9.24096700545898,-17.6673176521314,2.82729408602214,0.944444444444444,-1.24154002331041,0.154370875463436,0.990767440035411,8.79749552671034,0.964850272862928,7.13467185826123,-0.16973077181723,0.0439908802704022,0.98934915037028,0.957496906420296,0.0338030609649775,0.41731366840515,0.00324959664382586,0.999692378568071,0.991997837793015,3.71872243500901e-05,0.52533951668773,-1.39775645049318,0.994792304741313,4.2243910085281e-10,-1.25857215831036,7.16744019860374,0.984417076222233,4.90740883055984,0.460675399291645,183,0.0199016134803196,321,7.08579023134322
