"tsId","class","lempel_ziv","aproximation_entropy","sample_entropy","permutation_entropy","shannon_entropy_CS","shannon_entropy_SG","spectral_entropy","nforbiden","kurtosis","skewness","x_acf1","x_acf10","diff1_acf1","diff1_acf10","diff2_acf1","diff2_acf10","x_pacf5","diff1x_pacf5","diff2x_pacf5","entropy","nonlinearity","hurst","stability","lumpiness","unitroot_kpss","unitroot_pp","trend","spike","linearity","curvature","e_acf1","e_acf10","max_level_shift","time_level_shift","max_var_shift","time_var_shift","max_kl_shift","time_kl_shift"
"1","1",0.175452548554593,0.146144736454067,0.36845318535363,0.986273481359223,7.17724227672124,7.17724277010244,6.93669490551168,0.365277777777778,1.26774548761117,1.75771590142881,0.859454594601355,4.34669672609513,-0.446068391928294,0.2154989832737,-0.689980060546707,0.521160736581775,0.933576134943899,0.2289764516996,0.951450577702432,0.698000982444439,0.0346217635306749,0.99926540839691,0.777104018977078,0.322790062195839,1.59689532391549,-268.413871743512,0.345445096604827,4.70310910335422e-07,-0.849307931810789,-17.5133029068364,0.785494097779811,2.65029647021927,2.48851270421493,934,1.83281097666551,927,700.103256435871,664
"2","1",0.230281469977904,0.260246407687447,0.463399454194654,1.01962209812692,7.11846798289083,7.11846854335588,6.96617055195011,0.226388888888889,-0.0511797953078954,1.29177454031446,0.830814652120742,1.52843805239367,-0.000279461628281123,0.0697785315413745,-0.499031952892123,0.266424961082626,0.733396960679092,0.0046331673138377,0.442668421144053,0.714955887389944,0.0150515971602413,0.999406879355179,0.499617490414181,0.435283201875938,1.39301031931356,-361.449538638602,0.182290432621029,3.76142784255218e-07,-3.9077127373052,-13.5572528591819,0.793310363452715,1.56814162088532,2.38705802922318,350,2.81165381644746,1016,691.51739633575,358
"3","1",0.219315685693242,0.200254654541488,0.38914692608543,0.970301165985348,7.08371177995305,7.08371240583991,7.05175762008432,0.2375,2.06044784874078,1.94934329540347,0.8019404369027,5.29928003681233,-0.480877953481498,0.254756583957348,-0.669444048623361,0.513500859330494,0.921877546704346,0.360946950708383,1.02610324589554,0.679135568731951,0.378231939407551,0.980285913197927,0.787138783329964,0.319202386406028,2.40307167362361,-384.155055340862,0.514015739813045,4.79990957474185e-07,-5.31651518591134,-15.7701112707521,0.592830057873989,2.09913154849397,2.31072130346637,928,2.76355692139751,714,660.926779327214,637
"4","1",0.0657947057079725,0.086847134139173,0.363099045391798,0.796864380715325,7.22345434610344,7.22345484238409,6.73513637007337,0.654166666666667,5.40675508480467,2.63540096858026,0.940114605996324,5.0713103155422,-0.00157528877466139,0.0201703861940099,-0.477816014438136,0.24146458860885,0.886284417313863,0.0021873568518304,0.495444294540058,0.624955420337715,0.190206479727006,0.999691246627216,0.821704527181549,0.40190111596093,1.59976323447535,-131.509437996979,0.494704051516557,8.2920017639474e-07,-3.90056739034048,-12.1173998235799,0.881817940944477,2.49615991007751,0.386954819011241,75,0.0449205139733514,83,656.894466255114,618
"5","1",0.153520979985269,0.112552487629491,0.42020664347946,1.01263549368139,7.35771920147844,7.35771950917837,6.84561242223334,0.188888888888889,10.5209053769625,3.38187130225727,0.907561361454822,3.39175693799344,0.00350292852122377,0.0277385888139998,-0.495861469597568,0.271976033707147,0.830796503220171,0.00661053605977553,0.472617804108914,0.720188455449801,0.0591370869391378,0.999633431282071,0.722016575122419,0.994132958403731,2.08026318750221,-204.478353633303,0.336929214489253,1.86102108212691e-06,-10.2218434310817,3.58007516225136,0.86108496015094,1.97731766251709,0.48163034302455,1470,0.0650249786386691,1475,188.397968038586,477
"6","1",0.142555195700607,0.0996288651800167,0.380980622499027,0.878811723325115,7.15305315569,7.15305363661784,6.69850722240054,0.5125,-0.549096937136555,1.15717767097184,0.931803449031708,6.28321654974115,-0.432785233168042,0.23440337189402,-0.725882491936187,0.623016400606294,1.0664023427828,0.207996167569645,0.87679467227116,0.61942842574055,0.175431710755202,0.999592718831625,0.88885286478665,0.115128355575811,1.29888863695233,-111.944840582378,0.576488653997772,2.59744970593076e-07,-0.0492009590675127,-12.9091814540316,0.83965574656893,3.12104142517307,2.30804088920434,1772,2.35082169636408,735,64.5032029993858,1884
"7","1",0.131589411415945,0.124187803553026,0.407474503569648,0.862983347064045,7.11544903511285,7.11544958067919,6.77709757353689,0.494444444444444,5.23780743048074,2.12518359884321,0.933039826846326,4.75688950829935,-0.0551085221181552,0.0385434806060215,-0.544817326228327,0.321667793652523,0.879484876800864,0.00563912024866017,0.511778876217066,0.705348726826115,0.130347780078794,0.99968723885383,0.796286941944601,0.450808422086531,0.678855939506595,-142.368935015768,0.408712520583247,1.11385098273141e-06,1.38659323125023,-12.0487155565104,0.887186711069919,2.72041005504517,2.28246747560899,519,1.480376992645,513,720.659519896288,1360
"8","1",0.10417495070429,0.081681889218685,0.362180279645719,0.964969862207548,7.13205420042697,7.13205492401318,6.80481288848531,0.372222222222222,4.43184131913246,2.48284824522411,0.927515244489697,6.18626670720276,-0.299996159654683,0.108768970391983,-0.631508980196265,0.433678961692236,0.940749903695386,0.0982742666675902,0.717630405500523,0.596070927198067,0.053778376321422,0.999567410112708,0.860929631972061,0.470316765963778,1.0913344689133,-112.688862643891,0.607364416636472,4.62882565589429e-07,0.275028734592036,-11.8937354273643,0.816039478043384,2.54931178408321,3.00502012946499,1207,3.00155441836922,1208,700.432671230773,998
"9","1",0.10417495070429,0.0874338078892682,0.389268498035217,0.916547397201186,7.16363280571489,7.16363339923544,6.75888757153865,0.431944444444444,3.48593519557215,2.25578968693946,0.94205081309954,4.97217468645513,-0.00470864579775004,0.0333163654253776,-0.502384675446981,0.261880295805441,0.890989602258079,4.72290454309507e-05,0.495924667849332,0.687084910077752,0.062729429977581,0.999677399089239,0.838866471994035,0.315405567442664,3.10131992179267,-135.602662467231,0.490024091333976,6.02421245549124e-07,12.5612574303802,-9.40440784725797,0.886900676458611,2.51050345473221,1.65074151054511,1801,0.905518578791754,1779,720.90608073148,1251
"10","1",0.180935440696924,0.122650245648138,0.393788673729404,0.968591427990775,7.19706309677819,7.19706356508601,6.87069442606148,0.419444444444444,2.12623914085196,1.96638329759405,0.887117575318159,4.97767755679897,-0.403735171599686,0.192113447218665,-0.66658821171071,0.500281672530728,0.950445649788869,0.191584353417326,0.909524313952393,0.673872434247687,0.355862732160224,0.999345410699653,0.823732661467168,0.265601579931928,1.80642518589456,-203.226452045101,0.483418820649207,3.51725405770743e-07,-2.17846234941132,-16.5510181842708,0.781893936813224,2.38054239060063,2.50119867139724,876,2.07967737588162,909,703.982438094697,753
