"tsId","class","lempel_ziv","aproximation_entropy","sample_entropy","permutation_entropy","shannon_entropy_CS","shannon_entropy_SG","spectral_entropy","nforbiden","kurtosis","skewness","x_acf1","x_acf10","diff1_acf1","diff1_acf10","diff2_acf1","diff2_acf10","x_pacf5","diff1x_pacf5","diff2x_pacf5","entropy","nonlinearity","hurst","stability","lumpiness","unitroot_kpss","unitroot_pp","trend","spike","linearity","curvature","e_acf1","e_acf10","max_level_shift","time_level_shift","max_var_shift","time_var_shift","max_kl_shift"
"1","1",0.88855896763216,0.774979048272427,0.649972410794785,0.844020879790238,7.71809220232067,-15.4908518899104,4.77335185839275,0.858333333333333,0.0599546125779189,0.829699529782315,0.723720916053512,1.05996784714216,-0.11062197864498,0.101155525612007,-0.488395859237654,0.333706518660069,0.532371539528252,0.0731492924109036,0.490335813507557,0.886558118559096,0.943490820899629,0.987570043269358,0.522675765787704,0.0609648381037029,1.01859096340181,-41.5563032500733,0.554901712135049,9.66850389189835e-06,-5.67309576615703,4.8083187449298,0.456080509098349,0.712529794529817,1.17482172167254,11,0.616734779661858,58,1.16167263044682
"2","3",0.844131019250552,0.792087726659636,0.67907272263578,0.840958453654993,6.39473930115493,-23.4210992646078,4.76834884477726,0.859722222222222,0.620337793451983,1.13985990365435,0.725151901134113,1.15832022717201,-0.142681898864782,0.134001616177551,-0.485079896975895,0.384525734465314,0.540346356359685,0.0824094000259936,0.496864336059295,0.877947810914485,0.703679547074869,0.985329106977245,0.55668003986839,0.083073994771084,1.13208168780615,-41.254238700797,0.549603984896001,1.38086062817351e-05,-5.90413767016667,5.64275337402252,0.430553009905333,0.695819549401702,0.961002936793654,11,0.592435977431317,122,1.27001546249626
"3","1",0.66641922572412,0.863380042785788,0.707232676020187,0.978326700934697,6.33192641730105,-33.376732425882,4.75351235807782,0.815277777777778,7.96248747252182,2.62733047495078,0.795511667256693,1.78595559785305,-0.121719517342939,0.0833850048102357,-0.473267145565907,0.288857935486913,0.638331155253765,0.0634534232720279,0.628842156753475,0.871095465104024,0.930365170010504,0.995328089528969,0.762234128457789,0.200257320968034,0.822226519518236,-26.1184438950117,0.814268846219959,5.63236567959334e-06,-5.16204060884373,7.30872588051411,0.345547374974198,0.278985712739497,1.0649671432312,3,0.43886754957653,8,19.4267949910032
"4","3",0.799703070868944,0.803523661423517,0.66774017715503,0.856172276588449,7.42274235700849,-15.3860448912934,4.79340535194943,0.866666666666667,1.0226272843586,1.04608036852429,0.71115390718752,0.882275165079506,-0.111895513765182,0.0950029603066761,-0.459592363806655,0.282895577820916,0.52691002211083,0.0653140108891686,0.424641406635935,0.887774391121799,0.709923708512911,0.984578532612932,0.484814491033819,0.0725305413127804,0.799789743696227,-45.9804816959255,0.516694628911623,1.20102409055095e-05,-4.83802371488193,4.8952551822183,0.413752848002459,0.672799048303469,0.895672576477666,16,0.620548395743367,2,2.04701261830701
"5","2",0.710847174105728,0.761083827212734,0.687565236244953,0.908258584439666,6.93063062825885,-27.364253651068,4.75456918591705,0.844444444444444,4.35969467100569,1.98502788941776,0.785951659841677,1.57585124004488,-0.0792300281312084,0.0621492323350952,-0.458404627877128,0.256971021601418,0.625276118261282,0.0577971548163451,0.515365709960475,0.869800117283792,0.815910601628709,0.994122742732967,0.705091710769142,0.0889490331161758,0.947684617375082,-29.6559289494307,0.734556124651318,8.09618523331181e-06,-5.6901490380949,6.35454537093445,0.438785446334319,0.662783158251008,0.921345511550507,11,0.465820112102407,122,6.15099559528556
"6","1",0.88855896763216,0.843351178271691,0.680278167877132,0.913718939647868,7.98709072398083,-14.2437489703413,4.81026089323492,0.844444444444444,2.23091713194843,1.34053474756614,0.719446674878611,0.926229814062639,-0.141544842488184,0.0787192710971026,-0.486040717134535,0.271410900705802,0.538819979702094,0.0602075594643928,0.442495053931277,0.898831077904449,0.442230332655853,0.98661840596753,0.501613014983999,0.191326561928194,0.57271871849714,-44.118921417834,0.552742810224929,1.25597418542698e-05,-4.09389987664125,5.11871875707434,0.379391569794599,0.551954806546111,1.11699086060858,5,0.53389399327015,2,2.46594824896991
"7","1",0.755275122487336,0.79782963836852,0.715738075045079,0.978356183106573,5.98125840156196,-35.0313069868011,4.73452760168531,0.825,11.4233044126193,3.1312653326505,0.801692767746011,1.76901163052564,-0.138514143406554,0.0699527497394582,-0.488393895386562,0.280522458157244,0.651002323546967,0.064069473681024,0.67178535921718,0.873733579361819,1.19190083025091,0.996050453628326,0.779666582877632,0.367322393042311,0.690540753114988,-24.849336376448,0.854622036475376,3.98202845188876e-06,-4.64562128368945,7.51089023321021,0.286650637950679,0.148041102875894,0.768811483617815,2,0.333841272961884,7,36.8324240128752
"8","1",0.710847174105728,0.753784382467256,0.69885721007246,0.976288537025451,6.17521663252073,-31.6618953642339,4.73028643444269,0.826388888888889,4.93505225690932,2.14874915311053,0.792991583616775,1.87246794026556,-0.145745912601608,0.0924426828756011,-0.49139441488136,0.307764847922477,0.637625791614384,0.0787754258934517,0.59563827646989,0.86406412857766,0.688823550257366,0.994281861809791,0.749217049544154,0.103284166220427,1.02910855406877,-27.3726898502566,0.766943883718764,8.61970558819609e-06,-5.84689738715617,7.19186348540145,0.391516179708659,0.499278102757234,1.04592710536383,11,0.487634334969002,74,8.57724304796376
"9","3",0.844131019250552,0.825587723812006,0.649501115852315,0.860000921924684,8.33743193655428,-11.401096210146,4.80761175494548,0.8625,1.59378147154405,1.06288291260384,0.698800097448923,0.832397026808988,-0.145011108885765,0.0687129903696089,-0.484492692290183,0.259522017457644,0.504735120205251,0.0712059190771995,0.448427773119529,0.901950586068451,0.920264676078417,0.983808895443209,0.480233520043551,0.116374607371193,0.664040545217449,-47.1885513586376,0.52257837307976,1.30774392502373e-05,-4.47475820696076,4.6244750382332,0.379735515762572,0.493996291328501,0.945234611166462,130,0.471831511329787,15,2.75399777517688
"10","3",0.710847174105728,0.74795662960779,0.690648137870131,0.926010133502998,6.8882587334461,-30.5979375831982,4.7459910223557,0.844444444444444,6.70512918038618,2.43812640879504,0.802152005770424,1.7014334166168,-0.051096222606204,0.0630786792061403,-0.430512664626877,0.244778576754376,0.653940083930569,0.0573839898793967,0.535226437973311,0.869516459552322,0.888715368282782,0.995296358893204,0.748892699054148,0.140833328184006,0.857671731278944,-26.7076734458996,0.788479101213054,6.69965947543264e-06,-5.37916916611784,6.8936082997724,0.425803704470835,0.507390091162972,1.02569359909898,3,0.509165192028663,9,11.6690379366777
