"tsId","class","lempel_ziv","aproximation_entropy","sample_entropy","permutation_entropy","shannon_entropy_CS","shannon_entropy_SG","spectral_entropy","nforbiden","kurtosis","skewness","x_acf1","x_acf10","diff1_acf1","diff1_acf10","diff2_acf1","diff2_acf10","x_pacf5","diff1x_pacf5","diff2x_pacf5","entropy","nonlinearity","stability","lumpiness","unitroot_kpss","unitroot_pp","trend","spike","linearity","curvature","e_acf1","e_acf10","max_level_shift","time_level_shift","max_var_shift","time_var_shift","max_kl_shift","time_kl_shift"
"1","1",0.0246121379061875,0.0228053077763199,0.358455241850187,0.751586201723109,10.0315040740311,-179.941079967557,3.63139137377873,0.5625,-1.34096748518487,0.529296442025194,0.999442150434941,9.91147768546304,0.769943886529156,4.45951593037439,-0.060830391269148,1.16847112578669,1.01935147716204,1.1928022826936,0.676256608543683,0.33178439225643,0.00223426626256883,1.00451379648787,7.97085535729793e-06,5.24178608621504,-0.696644189784907,0.985167246769659,1.12226467882763e-09,9.11279093768309,-32.4652526111683,0.997163027023938,8.68846548894288,0.510933973062357,1009,0.0297240163023912,999,0.345392332824977,1010
"2","1",0.0246121379061875,0.0201080814932093,0.357725772486468,0.750271428007701,10.0009770249465,-177.907244744644,3.48583846714924,0.55,-1.35763972740475,0.52534222777829,0.999456894239779,9.91867181849231,0.779524550399991,4.7794150882129,-0.127477531681629,1.03939874408127,1.0127561279815,1.16373810977497,0.622625376007113,0.329813348266025,0.00222041551985805,1.0046647239952,4.91129776089128e-06,5.2849150018162,-0.556577747198278,0.988366799174359,6.3869034104473e-10,9.27207238619841,-32.397745349555,0.997409224061243,8.78247061960307,0.461640302663803,964,0.0258507055828498,954,0.248169417564965,965
"3","1",0.0246121379061875,0.0213241172970136,0.358214239198992,0.765796938376678,9.96983031003139,-179.100579777137,3.59102279173127,0.545833333333333,-1.34970074959336,0.529007078346062,0.999453035956793,9.91607807940957,0.776300748910883,4.40547038264605,-0.109722225096811,0.992297727622535,1.01539116325506,1.1266336082983,0.590934459921746,0.330312300960211,0.00254044321139593,1.00458762165753,6.2585296310007e-06,5.31750184809538,-0.612499140485002,0.987149925472048,7.82628399236266e-10,9.53745889138722,-32.1955747973627,0.9972445438737,8.72677015479409,0.469549921571381,977,0.0257456452505081,967,0.296471626885571,1031
"4","1",0.0246121379061875,0.0206998955077526,0.354375555240974,0.749605187317995,10.3724187724508,-157.718298123331,3.53617063800544,0.530555555555556,-1.34141637248844,0.501959413378534,0.999438490587266,9.91720501054497,0.82305065932719,4.45407845943864,-0.0353285312401824,0.747449080567648,1.01104311174824,1.05425833976657,0.418495001931763,0.325310381002046,0.00140016505954526,1.00467464473918,3.285610888262e-06,4.88364248680861,-0.538271655429388,0.989269427410544,3.64879148440891e-10,6.32419579708909,-34.0411585367411,0.997347622763994,8.79175947854561,0.435145358516326,1004,0.0179722728176129,996,0.369300317932998,1012
"5","1",0.0246121379061875,0.0235718769996038,0.359498725319807,0.75045259621965,9.96752874465965,-184.187460447896,3.67413421992728,0.595833333333333,-1.2804378380327,0.561495182004259,0.999449921040836,9.91375635065005,0.684434284454511,3.40938054764911,-0.0444072825277172,1.38085971348611,1.01955287840323,1.14478816022606,0.739733560860574,0.332193869062963,0.00226686985066058,1.00455332726632,6.23328293404182e-06,5.18388845502168,-0.676890821858247,0.985206481905608,7.92965111044637e-10,8.94340016807642,-32.274085223777,0.996806269094827,8.7949776372925,0.447404943268528,1015,0.024553770398141,1005,0.468476853146307,1017
"6","1",0.0307651723827343,0.0198741361694281,0.35883204463628,0.724179375467302,10.3576997802155,-179.264763746572,3.41631321228755,0.583333333333333,-1.38953445573993,0.514039386123627,0.999456291281788,9.92383175507626,0.671103977564038,3.32180673729516,-0.046000717555528,1.28640277404446,1.0080130988061,1.08100023358254,0.698682514669051,0.32448608229395,0.0019711515506517,1.00477719667663,1.24975321249041e-06,5.4660494206959,-0.442152076882518,0.991334852018805,2.26912805453695e-10,10.2413102815212,-31.9055749476831,0.996740322298424,8.92897921054796,0.313061443729782,1042,0.00781906916376528,1051,0.188520344574366,1099
"7","1",0.0246121379061875,0.0207768365466405,0.357551628011378,0.744643701465595,9.97883222614427,-176.718640296317,3.4596721451399,0.563888888888889,-1.36737680675456,0.518723777584675,0.999456987573097,9.91958343192775,0.770226446579324,4.52338544669278,-0.10772553193457,1.07967084207851,1.01179954297954,1.12358244111658,0.603949193732794,0.331243188488394,0.0020575771799995,1.00467076213586,2.97676428836277e-06,5.21153369089986,-0.53443191019981,0.988298180781362,4.55608012510237e-10,8.83214309232865,-32.6527027874692,0.997562040255872,8.92165198118513,0.360283864576988,963,0.0161123642538545,953,0.253182373192054,964
"8","1",0.0246121379061875,0.0180994027119477,0.356777926165818,0.736814277978898,10.3458098839159,-143.136737008207,3.27146396056687,0.559722222222222,-1.54175169454516,0.387298309002705,0.999417823972566,9.92018315997489,0.838252752158476,5.63111362115245,-0.103713574119159,0.629135606721951,1.00533083149538,1.09770350884544,0.44721266648396,0.325799489181485,0.00134495939330317,1.00477098523376,9.9852770300948e-07,5.31563361536285,-0.412224088560424,0.991965241822766,1.7689492429818e-10,8.95981713970911,-33.5929597435098,0.997982277749568,9.05129086849846,0.248724336121003,1023,0.00627264433864497,965,0.177997890434159,1031
"9","1",0.0246121379061875,0.0183497226624243,0.35670844662284,0.742152144210458,10.1481709614011,-177.553114056675,3.37568040224705,0.570833333333333,-1.34419823505499,0.525092050286802,0.999455630720682,9.9234345937096,0.757544109844087,4.22998092338199,-0.0665017457462776,1.16044858352289,1.00759441879626,1.10079765304262,0.582793268186791,0.322475862120281,0.00157118182037257,1.00479216847457,1.74463431521613e-06,5.15487115340657,-0.438659166270108,0.991454718990025,1.95780123850604e-10,8.24016302592719,-33.1158080357134,0.997277957438313,8.90575801786046,0.301957881466912,1016,0.0117575747131121,1006,0.23868672515571,1017
"10","2",0.0246121379061875,0.022706490545797,0.356868328471262,0.740653308478849,10.1235903136461,-165.726716061964,3.4923005901771,0.541666666666667,-1.40683077203162,0.485472623355622,0.999436101754307,9.91022855775511,0.871764962387052,5.92719824624429,-0.0510895176356473,0.870197415125345,1.01846939626735,1.2274462318656,0.500557211607498,0.335540275739741,0.00177899723804733,1.00449875149962,5.84599334167778e-06,5.08340772664645,-0.695649053413426,0.984037914726128,1.07542466640018e-09,7.98112289255897,-33.2916664213484,0.997825647964614,8.79374725790512,0.443486526985299,945,0.0203759397873285,935,0.397401258177397,993
"11","2",0.0246121379061875,0.0164893074081875,0.358086637141201,0.721993561764699,10.1343330961989,-169.284214648221,3.22792266825311,0.579166666666667,-1.45682915185602,0.471672347553907,0.999458278929653,9.92749974794831,0.82055509418617,4.66732068410785,-0.0465995675014265,0.706995727103351,1.00407812117344,1.00960575355908,0.401682216845059,0.319445896907336,0.00117841651723969,1.00487351282381,4.72120710240835e-07,5.28279141442834,-0.338962279594681,0.994214517752787,8.68439175476732e-11,8.90710730302406,-32.9859349335063,0.997492399790124,8.98977546747297,0.206251069634599,1035,0.00407639848326836,1025,0.0927085445879667,1099
